epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,140.379,0.83669,0.40405,0.7738,0.9435,0.82947,0.8611,0.60455,0.80165,0.36053,0.77397,0.00124681,0.000415604,0.00124681,0.000415604,0.00124681,0.000415604,0.00124681,0.000415604
2,242.505,0.81411,0.37601,0.76429,0.93118,0.83563,0.86208,0.61276,0.79903,0.36707,0.77364,0.00243502,0.000811672,0.00243502,0.000811672,0.00243502,0.000811672,0.00243502,0.000811672
3,318.791,0.79907,0.37243,0.76158,0.94323,0.82644,0.8615,0.60898,0.80585,0.3759,0.77292,0.00356134,0.00118711,0.00356134,0.00118711,0.00356134,0.00118711,0.00356134,0.00118711
4,401.728,0.79893,0.37085,0.75939,0.94989,0.82589,0.86213,0.60562,0.80596,0.37216,0.77236,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719,0.00347156,0.00115719
5,479.186,0.77838,0.36378,0.75813,0.93185,0.83282,0.86072,0.60891,0.81427,0.37425,0.77264,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
6,541.798,0.78245,0.36285,0.75861,0.93193,0.83717,0.86102,0.60974,0.80734,0.37355,0.77232,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531,0.00328594,0.00109531
7,603.4,0.77942,0.36098,0.75738,0.91828,0.84134,0.86388,0.61073,0.8103,0.37242,0.77273,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
8,665.185,0.76841,0.35616,0.75701,0.94143,0.83207,0.8645,0.61039,0.8091,0.37168,0.77236,0.00310031,0.00103344,0.00310031,0.00103344,0.00310031,0.00103344,0.00310031,0.00103344
9,727.418,0.78029,0.35761,0.75623,0.92416,0.83924,0.86356,0.61034,0.8145,0.37427,0.77297,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
10,793.316,0.77025,0.35431,0.75601,0.91207,0.84092,0.86425,0.61329,0.81106,0.37268,0.77239,0.00291469,0.000971562,0.00291469,0.000971562,0.00291469,0.000971562,0.00291469,0.000971562
11,854.602,0.75938,0.35084,0.75673,0.92716,0.83472,0.86521,0.61485,0.80897,0.37005,0.77317,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
12,916.283,0.76144,0.35112,0.75655,0.94588,0.82989,0.86848,0.61727,0.80899,0.36988,0.77283,0.00272906,0.000909688,0.00272906,0.000909688,0.00272906,0.000909688,0.00272906,0.000909688
13,977.72,0.75666,0.34933,0.75535,0.93255,0.82349,0.86278,0.6156,0.80957,0.37105,0.77281,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
14,1040.01,0.76378,0.35089,0.75568,0.93403,0.83742,0.86349,0.6159,0.8108,0.37171,0.77263,0.00254344,0.000847813,0.00254344,0.000847813,0.00254344,0.000847813,0.00254344,0.000847813
15,1107.39,0.74931,0.34632,0.75603,0.93743,0.82591,0.86511,0.61727,0.80598,0.36928,0.77286,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
16,1177.08,0.76075,0.34823,0.75538,0.93001,0.83597,0.86566,0.61786,0.80606,0.36974,0.7723,0.00235781,0.000785938,0.00235781,0.000785938,0.00235781,0.000785938,0.00235781,0.000785938
