epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.753,1.86525,1.13439,0.87481,0.70647,0.56588,0.62852,0.34207,1.62991,0.70913,0.84822,0.00332474,0.00332474,0.00332474
2,241.212,1.93465,0.80193,0.86587,0.83177,0.63391,0.70706,0.40124,1.52693,0.69848,0.85892,0.00661688,0.00661688,0.00661688
3,328.059,1.96061,0.78783,0.87557,0.81452,0.66056,0.71417,0.37946,1.63594,0.75283,0.86282,0.00986777,0.00986777,0.00986777
4,413.019,1.84442,0.70684,0.86576,0.82312,0.71433,0.75991,0.429,1.51094,0.62471,0.85238,0.00981438,0.00981438,0.00981438
5,501.305,1.71107,0.6327,0.8538,0.86604,0.73372,0.7837,0.46896,1.43129,0.56996,0.83634,0.0097525,0.0097525,0.0097525
6,590.402,1.59878,0.58614,0.84551,0.86619,0.73378,0.79112,0.48026,1.34319,0.54281,0.83998,0.00969063,0.00969063,0.00969063
7,683.148,1.55318,0.56603,0.83809,0.83091,0.73754,0.78921,0.49499,1.32661,0.52653,0.83507,0.00962875,0.00962875,0.00962875
8,777.747,1.48556,0.54202,0.83506,0.91502,0.7467,0.81444,0.51043,1.26492,0.50386,0.82795,0.00956688,0.00956688,0.00956688
9,870.104,1.45212,0.52744,0.83115,0.86932,0.74756,0.8048,0.50373,1.25894,0.49835,0.82526,0.009505,0.009505,0.009505
10,966.881,1.43145,0.51692,0.82711,0.90974,0.74761,0.8074,0.50467,1.25052,0.49854,0.82391,0.00944313,0.00944313,0.00944313
11,1054.96,1.39356,0.50271,0.82282,0.89591,0.7586,0.811,0.52154,1.23645,0.48317,0.82381,0.00938125,0.00938125,0.00938125
12,1138.21,1.38593,0.49954,0.82054,0.90647,0.74879,0.8082,0.50831,1.26193,0.48512,0.82488,0.00931937,0.00931937,0.00931937
13,1230.56,1.34622,0.48671,0.82049,0.90521,0.76559,0.82567,0.53473,1.21496,0.46999,0.8219,0.0092575,0.0092575,0.0092575
14,1327.05,1.33053,0.48086,0.81706,0.88956,0.74862,0.81,0.52432,1.21301,0.46654,0.82106,0.00919562,0.00919562,0.00919562
15,1428.57,1.31313,0.47185,0.81551,0.90061,0.77175,0.82283,0.52404,1.22692,0.46352,0.81915,0.00913375,0.00913375,0.00913375
16,1527.45,1.28983,0.46573,0.81305,0.89749,0.77499,0.83241,0.52843,1.2277,0.46487,0.82074,0.00907188,0.00907188,0.00907188
17,1631.44,1.26664,0.45794,0.81382,0.89323,0.78161,0.83219,0.54557,1.19584,0.4501,0.81914,0.00901,0.00901,0.00901
18,1730.56,1.25567,0.4541,0.8095,0.90549,0.75953,0.82533,0.53601,1.16527,0.44333,0.8139,0.00894812,0.00894812,0.00894812
19,1829.05,1.22905,0.44695,0.80821,0.913,0.77297,0.82711,0.54077,1.16507,0.44466,0.8153,0.00888625,0.00888625,0.00888625
20,1928.34,1.23228,0.44661,0.80681,0.91485,0.76744,0.83498,0.54894,1.17561,0.43606,0.81516,0.00882438,0.00882438,0.00882438
21,2025.01,1.19841,0.43557,0.80522,0.89909,0.78681,0.83903,0.54872,1.17467,0.43376,0.81523,0.0087625,0.0087625,0.0087625
22,2120.63,1.19394,0.43313,0.80224,0.92453,0.7673,0.83171,0.54518,1.19498,0.43538,0.81583,0.00870063,0.00870063,0.00870063
23,2212.75,1.15397,0.42365,0.80516,0.90982,0.78771,0.83713,0.55763,1.16095,0.42261,0.81284,0.00863875,0.00863875,0.00863875
24,2314.75,1.16156,0.42308,0.80212,0.90705,0.78286,0.83676,0.55778,1.14898,0.42243,0.81273,0.00857687,0.00857687,0.00857687
25,2409.98,1.15274,0.41975,0.79943,0.90834,0.78248,0.84202,0.56447,1.13508,0.42046,0.81093,0.008515,0.008515,0.008515
26,2498.28,1.13507,0.4135,0.79811,0.94091,0.77198,0.83589,0.55616,1.14405,0.41609,0.81193,0.00845313,0.00845313,0.00845313
27,2586.48,1.11489,0.41004,0.79757,0.91687,0.79092,0.84273,0.55895,1.13413,0.41476,0.81099,0.00839125,0.00839125,0.00839125
28,2683.39,1.10517,0.40595,0.79776,0.93178,0.77719,0.83656,0.55797,1.14684,0.41836,0.81193,0.00832937,0.00832937,0.00832937
29,2782.18,1.08413,0.39938,0.79777,0.93773,0.79203,0.84632,0.56677,1.11371,0.40791,0.80878,0.0082675,0.0082675,0.0082675
30,2874.31,1.08533,0.40022,0.79543,0.92017,0.79166,0.84246,0.54923,1.1375,0.41583,0.81047,0.00820562,0.00820562,0.00820562
31,2985.24,1.07514,0.3953,0.79496,0.91756,0.78549,0.84133,0.55528,1.12265,0.4102,0.80905,0.00814375,0.00814375,0.00814375
32,3082.27,1.06597,0.39227,0.79312,0.95203,0.78237,0.84659,0.56103,1.11493,0.40253,0.80871,0.00808188,0.00808188,0.00808188
33,3186.2,1.03814,0.38583,0.79331,0.94879,0.76816,0.84601,0.56521,1.10893,0.40229,0.80902,0.00802,0.00802,0.00802
34,3281.56,1.054,0.38812,0.79197,0.90976,0.78571,0.84771,0.57002,1.12325,0.40251,0.80868,0.00795812,0.00795812,0.00795812
35,3379,1.03598,0.38401,0.79269,0.90973,0.78472,0.83815,0.5596,1.12616,0.40176,0.80917,0.00789625,0.00789625,0.00789625
36,3479.89,1.00332,0.37447,0.79195,0.94601,0.78473,0.85056,0.56731,1.10069,0.39355,0.80712,0.00783438,0.00783438,0.00783438
37,3583.59,1.00835,0.37306,0.79087,0.94861,0.78476,0.84879,0.57837,1.08986,0.38974,0.80724,0.0077725,0.0077725,0.0077725
38,3679.92,0.98705,0.36881,0.79009,0.94865,0.77709,0.84962,0.57914,1.08064,0.38811,0.80574,0.00771063,0.00771063,0.00771063
39,3777.63,0.97974,0.36509,0.78959,0.94247,0.77649,0.84265,0.57198,1.09238,0.38599,0.80585,0.00764875,0.00764875,0.00764875
40,3878.17,1.0037,0.3712,0.78794,0.91529,0.78553,0.84138,0.57678,1.08926,0.38389,0.80612,0.00758687,0.00758687,0.00758687
41,3975.42,0.98576,0.36742,0.78935,0.9423,0.78458,0.84807,0.57432,1.10354,0.38742,0.80745,0.007525,0.007525,0.007525
42,4079.43,0.96789,0.36118,0.78863,0.93721,0.78669,0.85266,0.58197,1.09258,0.38641,0.80584,0.00746313,0.00746313,0.00746313
43,4177.8,0.98149,0.36401,0.78665,0.93942,0.78197,0.84384,0.57465,1.07981,0.3807,0.80568,0.00740125,0.00740125,0.00740125
44,4273.36,0.96695,0.36029,0.78744,0.92316,0.78678,0.84041,0.5771,1.08542,0.38098,0.80589,0.00733937,0.00733937,0.00733937
45,4373.2,0.9456,0.35422,0.7874,0.9496,0.77833,0.8418,0.57777,1.0787,0.38003,0.80512,0.0072775,0.0072775,0.0072775
46,4476.1,0.95375,0.35526,0.7857,0.93249,0.78398,0.83869,0.57586,1.08209,0.37699,0.80568,0.00721562,0.00721562,0.00721562
47,4582.7,0.94225,0.35308,0.7856,0.94965,0.78746,0.84712,0.58676,1.06958,0.37651,0.80506,0.00715375,0.00715375,0.00715375
48,4677.14,0.94178,0.35192,0.78432,0.93665,0.78707,0.8508,0.58359,1.06524,0.3734,0.8035,0.00709188,0.00709188,0.00709188
49,4765.46,0.94044,0.35226,0.78465,0.95736,0.78405,0.85073,0.5812,1.06658,0.37211,0.8049,0.00703,0.00703,0.00703
